event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
570,customer,INSERT,549,0,570,0,18357192,
571,customer,INSERT,396,0,571,0,18357192,
572,customer,INSERT,474,0,572,0,19706632,
573,customer,INSERT,397,0,573,0,19706632,
574,customer,INSERT,395,0,574,0,19706632,
575,customer,INSERT,397,0,575,0,19706632,
576,customer,INSERT,726,0,576,0,19706632,
577,customer,INSERT,533,0,577,0,19706632,
578,customer,INSERT,524,0,578,0,21056072,
579,customer,INSERT,526,0,579,0,21056072,
580,customer,INSERT,408,0,580,0,21056072,
581,customer,INSERT,2408,0,581,0,21056072,
582,customer,INSERT,3749,0,582,0,21056072,
583,customer,INSERT,1406,0,583,0,21056072,
584,customer,INSERT,543,0,584,0,22405552,
585,customer,INSERT,351,0,585,0,22405552,
586,customer,INSERT,346,0,586,0,22405552,
587,customer,INSERT,342,0,587,0,22405552,
588,customer,INSERT,343,0,588,0,22405552,
589,customer,INSERT,347,0,589,0,22405552,
590,customer,INSERT,729,0,590,0,23755048,
591,customer,INSERT,352,0,591,0,23755048,
592,customer,INSERT,346,0,592,0,23755048,
